Event	ID	Name			Wwise Object Path	Notes
	209618788	UI_BackTo			\Default Work Unit\UI\UI_BackTo	
	504204120	Play_FireAbility_StopBurning			\Default Work Unit\Tardigrades\Fire\Play_FireAbility_StopBurning	
	712876480	Play_FreezeAbility_Blast			\Default Work Unit\Tardigrades\Ice\Play_FreezeAbility_Blast	
	853308612	Play_Tardigrade_ConvertToFire			\Default Work Unit\Tardigrades\Conversions\Play_Tardigrade_ConvertToFire	
	882936002	UI_AreYouSure			\Default Work Unit\UI\UI_AreYouSure	
	946441836	LoopingMusicTEMP			\Default Work Unit\Music\LoopingMusicTEMP	
	1285133454	Play_UI_TutorialMessage_Sequence			\Default Work Unit\UI\Play_UI_TutorialMessage_Sequence	
	1444742504	Play_FireAbility_Burning			\Default Work Unit\Tardigrades\Fire\Play_FireAbility_Burning	
	1652449308	Play_IceAbility_Healing_wPop_02			\Default Work Unit\Tardigrades\Ice\Play_IceAbility_Healing_wPop_02	
	1984528726	Play_FireAbility_Boom			\Default Work Unit\Tardigrades\Fire\Play_FireAbility_Boom	
	2073632745	Play_QuestionMarkDrone			\Default Work Unit\General\Play_QuestionMarkDrone	
	2166256596	Play_EndBox_Sequence			\Default Work Unit\General\Play_EndBox_Sequence	
	2406343346	Play_StoneAbility_Rocks			\Default Work Unit\Tardigrades\Stone\Play_StoneAbility_Rocks	
	2454902471	UI_ResetButton			\Default Work Unit\UI\UI_ResetButton	
	2691814938	UI_PressQuit			\Default Work Unit\UI\UI_PressQuit	
	2755379793	Play_Brazier_Burning			\Default Work Unit\Environment\Play_Brazier_Burning	
	2807572219	Play_Silence			\Default Work Unit\General\Play_Silence	
	3153585820	UI_PressUnpause			\Default Work Unit\UI\UI_PressUnpause	
	3235386399	Play_Brazier_Burning_NoChime			\Default Work Unit\Environment\Play_Brazier_Burning_NoChime	
	3368070439	UI_PressPause			\Default Work Unit\UI\UI_PressPause	
	3396071063	Play_StoneAbility_WeightDownArrow			\Default Work Unit\Tardigrades\Stone\Play_StoneAbility_WeightDownArrow	
	3430396397	Play_Tardigrade_ConvertToWater			\Default Work Unit\Tardigrades\Conversions\Play_Tardigrade_ConvertToWater	
	3640949955	Play_SpawnerBox_Sequence			\Default Work Unit\General\Play_SpawnerBox_Sequence	
	3664269105	Play_TardigradePain_Hit			\Default Work Unit\Tardigrades\General\Play_TardigradePain_Hit	
	3824618851	UI_PressButton			\Default Work Unit\UI\UI_PressButton	
	3903759629	StopAll_Delayed			\Default Work Unit\Stops\StopAll_Delayed	
	4175962335	StopAll_General			\Default Work Unit\Stops\StopAll_General	

Effect plug-ins	ID	Name	Type				Notes
	418265525	Gentle_Program_Compressor_Minus_14dB_RMS	Wwise Compressor			
	1588715066	Echoes_Linear	Wwise Delay			

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	333971782	Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\General\Silence\Silence	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	6087675	FreezeAbility_Shatter_Final_Wet	C:\Users\TKM\Documents\WwiseProjects\Tardigrades_WWise_TKM\.cache\Mac\SFX\FreezeAbility_Shatter_Final_Wet_45E62FC7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Tardigrades\Ice\FreezeAbility_Shatter_Final_Wet		10539
	62295430	UI_PressQuit_V2	C:\Users\TKM\Documents\WwiseProjects\Tardigrades_WWise_TKM\.cache\Mac\SFX\UI_PressQuit_V2_2CE66A1E.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\UI_AM\UI_PressQuit_V2		6638
	89134427	Tardigrade_ConvertToFire_02	C:\Users\TKM\Documents\WwiseProjects\Tardigrades_WWise_TKM\.cache\Mac\SFX\Tardigrade_ConvertToFire_02_BE4562E8.wem		\Actor-Mixer Hierarchy\Default Work Unit\Tardigrades\Conversions\Tardigrade_ConvertToFire_02		8134
	104885782	FireAbility_BurningLoop	C:\Users\TKM\Documents\WwiseProjects\Tardigrades_WWise_TKM\.cache\Mac\SFX\FireAbility_BurningLoop_37657DA8.wem		\Actor-Mixer Hierarchy\Default Work Unit\Tardigrades\Fire\FireAbility_BurningLoop		41190
	108162959	StoneAbility_Rocks	C:\Users\TKM\Documents\WwiseProjects\Tardigrades_WWise_TKM\.cache\Mac\SFX\StoneAbility_Rocks_2CE66A1E.wem		\Actor-Mixer Hierarchy\Default Work Unit\Tardigrades\Stone\StoneAbility_Rocks		23869
	124185785	FreezeAbility_Blast	C:\Users\TKM\Documents\WwiseProjects\Tardigrades_WWise_TKM\.cache\Mac\SFX\FreezeAbility_Blast_4AE14983.wem		\Actor-Mixer Hierarchy\Default Work Unit\Tardigrades\Ice\FreezeAbility_Blast		17644
	157662111	TardigradeGrunt_PainHit_02	C:\Users\TKM\Documents\WwiseProjects\Tardigrades_WWise_TKM\.cache\Mac\SFX\TardigradeGrunt_PainHit_02_2CE66A1E.wem		\Actor-Mixer Hierarchy\Default Work Unit\Tardigrades\General\Tardigrade_Pain\TardigradePain_Hit\TardigradeGrunt_PainHit_02		2333
	161461778	Brazier_Burning	C:\Users\TKM\Documents\WwiseProjects\Tardigrades_WWise_TKM\.cache\Mac\SFX\Brazier_Burning_748CB298.wem		\Actor-Mixer Hierarchy\Default Work Unit\Environment\1_1\Brazier_Burning		24569
	176324972	FireAbility_StopBurning	C:\Users\TKM\Documents\WwiseProjects\Tardigrades_WWise_TKM\.cache\Mac\SFX\FireAbility_StopBurning_A737B8B4.wem		\Actor-Mixer Hierarchy\Default Work Unit\Tardigrades\Fire\FireAbility_StopBurning		10035
	176383385	BellChime_03	C:\Users\TKM\Documents\WwiseProjects\Tardigrades_WWise_TKM\.cache\Mac\SFX\BellChime_03_523FA7DB.wem		\Actor-Mixer Hierarchy\Default Work Unit\Environment\1_2\BellChime_03		7478
